played_at_utc,played_date_utc,song_name,artist_name,song_duration_ms,song_link,album_art_link,album_name,album_id,artist_id,track_id,last_updated_datetime_utc
2025-09-30T03:06:25.428Z,2025-09-30,Attention,NewJeans,180066,https://open.spotify.com/track/2pIUpMhHL6L9Z5lnKxJJr9,https://i.scdn.co/image/ab67616d00001e029d28fd01859073a3ae6ea209,NewJeans 1st EP 'New Jeans',1HMLpmZAnNyl9pxvOnTovV,6HvZYsbFfjnjFrWF950C9d,2pIUpMhHL6L9Z5lnKxJJr9,2025-09-30T07:00:08.748901
2025-09-30T02:59:41.428Z,2025-09-30,喜歡戀愛,Candy Lo,217760,https://open.spotify.com/track/6MdW6YlF95hw9FWpIxTAOi,https://i.scdn.co/image/ab67616d00001e024eb167c10551996713a63b0b,"喜歡戀愛""粵語精選""",1jtdCNtDl4LjdsFwKCci8z,51ZbCFgOspWvhBjd1DUYEV,6MdW6YlF95hw9FWpIxTAOi,2025-09-30T07:00:08.748905
2025-09-30T02:47:08.558Z,2025-09-30,深藍,Candy Lo,217800,https://open.spotify.com/track/7DdiiZ5EUcknp361V9yLQO,https://i.scdn.co/image/ab67616d00001e024eb167c10551996713a63b0b,"喜歡戀愛""粵語精選""",1jtdCNtDl4LjdsFwKCci8z,51ZbCFgOspWvhBjd1DUYEV,7DdiiZ5EUcknp361V9yLQO,2025-09-30T07:00:08.748908
2025-09-30T02:43:30.164Z,2025-09-30,喜歡戀愛,Candy Lo,217760,https://open.spotify.com/track/6MdW6YlF95hw9FWpIxTAOi,https://i.scdn.co/image/ab67616d00001e024eb167c10551996713a63b0b,"喜歡戀愛""粵語精選""",1jtdCNtDl4LjdsFwKCci8z,51ZbCFgOspWvhBjd1DUYEV,6MdW6YlF95hw9FWpIxTAOi,2025-09-30T07:00:08.748912
2025-09-30T02:41:31.342Z,2025-09-30,只有夜來香,Crowd Lu,275820,https://open.spotify.com/track/6e2Cf3d3nHENfILdHksUvT,https://i.scdn.co/image/ab67616d00001e028374a8dc1799248c968cb47e,有吉他的流行歌曲,4F9JRdwiKjjong8gfiPw3b,2JBUyLiFvpFPWdZGqIGYLD,6e2Cf3d3nHENfILdHksUvT,2025-09-30T07:00:08.748915
2025-09-30T02:35:56.875Z,2025-09-30,三角誌,Candy Lo,212013,https://open.spotify.com/track/5q3EJfLTjEGlB4YjOjYbB9,https://i.scdn.co/image/ab67616d00001e02d068ac9c93f9aaadc0ec404a,糖果航空,6WjTs1xx2yhwU2JvZBAUAo,51ZbCFgOspWvhBjd1DUYEV,5q3EJfLTjEGlB4YjOjYbB9,2025-09-30T07:00:08.748919
2025-09-30T02:32:28.626Z,2025-09-30,黑洞,Eason Chan,221933,https://open.spotify.com/track/6nWBxoXylTDVtCNo7FtFw0,https://i.scdn.co/image/ab67616d00001e0224831e84094bf2080904aef8,準備中,7edjjiz1JlTXwZL6Z8r0Q9,2QcZxAgcs2I1q7CtCkl6MI,6nWBxoXylTDVtCNo7FtFw0,2025-09-30T07:00:08.748922
2025-09-30T02:08:02.313Z,2025-09-30,Save Your Tears,The Weeknd,248915,https://open.spotify.com/track/24r6xL1ABfoD9damMhGKOG,https://i.scdn.co/image/ab6742d3000053b71b0bce9e3e906cce7c63e783,Save Your Tears,0iP1enEU216DeqvMrBl8Ch,1Xyo4u8uXC1ZmMpatF05PJ,24r6xL1ABfoD9damMhGKOG,2025-09-30T07:00:08.748925
2025-09-30T02:03:51.616Z,2025-09-30,Mr. Brightside,The Killers,226440,https://open.spotify.com/track/4W9Hv0rBAZth7cXULSUkGP,https://i.scdn.co/image/ab6742d3000053b70f005c19d2ba50c287fef423,"Mr. Brightside (4:3, Version 2, 11/22/04)",3gYswMOJaO7iXRtMdGTuyP,0C0XlULifJtAgn6ZNCW2eu,4W9Hv0rBAZth7cXULSUkGP,2025-09-30T07:00:08.748938
2025-09-30T02:00:02.326Z,2025-09-30,詩人漫步,JOLIN,356821,https://open.spotify.com/track/26bahmpddoyIKXLZDzwOAV,https://i.scdn.co/image/ab6742d3000053b73186b27e548fff6bd43c639d,詩人漫步,1Bc0LkPgQSB1hbAlmUZyYe,1r9DuPTHiQ7hnRRZ99B8nL,26bahmpddoyIKXLZDzwOAV,2025-09-30T07:00:08.748942
2025-09-29T16:15:02.971Z,2025-09-29,Can You Feel The Love Tonight,Elton John,240800,https://open.spotify.com/track/46C6OS7z78QtCxEACPrspw,https://i.scdn.co/image/ab67616d00001e02995be10a6b380541b2717be8,Greatest Hits,5wNitMGZs4mCBdbKFbzwzn,3PhoLpVuITZKcymswpck5b,46C6OS7z78QtCxEACPrspw,2025-09-30T07:00:08.748946
2025-09-29T14:17:35.433Z,2025-09-29,綠洲,LaLa Hsu,251946,https://open.spotify.com/track/5z2wFoVRqnuxYmauqrKxdP,https://i.scdn.co/image/ab67616d00001e0214d79b14e3bc23b42df49356,極限,09NndwUwDMT5BkOPREqQjl,3dI4Io8XE33J2o04ZwjR0Y,5z2wFoVRqnuxYmauqrKxdP,2025-09-30T07:00:08.748949
2025-09-29T13:00:55.782Z,2025-09-29,可一可再,Eason Chan,287573,https://open.spotify.com/track/4hPBGtZisl600ivED9G6rd,https://i.scdn.co/image/ab67616d00001e0231525059de5d6f183a4e4f17,L.O.V.E.,23aP7DPqQDVrAS7ewQTBOG,2QcZxAgcs2I1q7CtCkl6MI,4hPBGtZisl600ivED9G6rd,2025-09-30T07:00:08.748952
2025-09-29T12:39:55.030Z,2025-09-29,太陽與地球,Crowd Lu,262000,https://open.spotify.com/track/0bQSWXtpau3VkNI1ZcXTQA,https://i.scdn.co/image/ab67616d00001e021b1fb50eec98ff61b9fdbda2,HeartBreakFast 傷心早餐店,3B4ldF0a4F6FXi2SB94m4U,2JBUyLiFvpFPWdZGqIGYLD,0bQSWXtpau3VkNI1ZcXTQA,2025-09-30T07:00:08.748956
2025-09-29T10:20:30.642Z,2025-09-29,Anti-Hero - Acoustic Version,Taylor Swift,196473,https://open.spotify.com/track/2d3d9xZutJjmUpntiyHt3F,https://i.scdn.co/image/ab67616d00001e020fc559ebbed8b0b100ad206c,Anti-Hero (Acoustic Version),5vgWXUueeEU2labRz6TlNv,06HL4z0CvFAxyc27GXpf02,2d3d9xZutJjmUpntiyHt3F,2025-09-30T07:00:08.748959
2025-09-29T10:20:02.593Z,2025-09-29,斯德哥爾摩情人,Eason Chan,252840,https://open.spotify.com/track/6avmb27mSIvp3hUD5xxcPf,https://i.scdn.co/image/ab67616d00001e0241ca3d76508f21f81e44a523,The Key,0wWuBzOyOFxzfSPr9HSehB,2QcZxAgcs2I1q7CtCkl6MI,6avmb27mSIvp3hUD5xxcPf,2025-09-30T07:00:08.748962
2025-09-29T06:09:16.476Z,2025-09-29,不難,LaLa Hsu,280640,https://open.spotify.com/track/3LOTdehsLMCm3u0CNJwsL3,https://i.scdn.co/image/ab67616d00001e0282e5ed12c7eb0b9e0984b802,理想人生,7dKLZlMYgc3Cz6f0e49gbn,3dI4Io8XE33J2o04ZwjR0Y,3LOTdehsLMCm3u0CNJwsL3,2025-09-30T07:00:08.748966
2025-09-29T05:26:07.884Z,2025-09-29,綠洲,LaLa Hsu,251946,https://open.spotify.com/track/5z2wFoVRqnuxYmauqrKxdP,https://i.scdn.co/image/ab67616d00001e0214d79b14e3bc23b42df49356,極限,09NndwUwDMT5BkOPREqQjl,3dI4Io8XE33J2o04ZwjR0Y,5z2wFoVRqnuxYmauqrKxdP,2025-09-30T07:00:08.748978
